filename,centroid_mean,centroid_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,flatness_mean,flatness_std,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std
brazil_bossa_nova_elis_regina_águas_de_março.wav,1760.7207810622817,953.2526642813798,3689.4967627337596,2207.737699925091,0.06482740682805274,0.05650760078334862,0.014208762,0.074757986,-191.63430786132812,116.92726135253906,19.859426498413086,22.015451431274414,1.2902677059173584,2.522106409072876,3.472546339035034,1.3722889423370361,-0.9974780082702637,4.142807483673096,-9.22838020324707,2.542868137359619,-4.47555685043335,101.52606201171875,36.25885009765625,25.799543380737305,17.206222534179688,13.367201805114746,12.730719566345215,10.809571266174316,10.38431167602539,8.924864768981934,9.632282257080078,8.124627113342285,8.439767837524414,9.320738792419434
brazil_bossa_nova_joão_gilberto_chega_de_saudade.wav,2014.2359782676635,885.930169886872,4214.374861252411,1454.6087490765715,0.08979146696815017,0.07947456703759138,0.043276176,0.1728538,-194.70115661621094,93.18856048583984,2.721343755722046,38.671119689941406,-10.765073776245117,5.488771438598633,-13.81714916229248,2.7063539028167725,-4.798537731170654,-6.771977424621582,-7.750798225402832,-5.930552959442139,-9.041571617126465,104.76261901855469,36.205535888671875,20.549158096313477,22.294498443603516,13.169386863708496,12.79078483581543,11.051950454711914,9.408554077148438,9.879446029663086,9.295431137084961,8.835185050964355,8.388575553894043,7.9201979637146
brazil_bossa_nova_nara_leão_insensatez.wav,1397.544205737572,1093.9128528341819,2781.9826576720375,2735.55796023053,0.04332476725018573,0.07860461389420942,0.009053992,0.053643417,-262.9972229003906,114.5533218383789,54.86499786376953,35.103546142578125,23.169153213500977,8.671093940734863,-0.10236029326915741,-1.464296817779541,-9.89469051361084,-9.979727745056152,-11.690362930297852,-4.227550506591797,-18.616657257080078,71.00654602050781,38.75636291503906,19.3303279876709,17.07986831665039,10.202452659606934,11.546466827392578,9.532474517822266,9.543424606323242,7.848537921905518,9.218588829040527,7.748854160308838,7.236565113067627,11.152223587036133
brazil_bossa_nova_tom_jobim_wave.wav,1601.2237037266607,673.009907098634,3487.9929533468908,1868.4410142782265,0.05820887423738453,0.024911136016713926,0.023683682,0.13143523,-201.22451782226562,111.87552642822266,11.969562530517578,19.255075454711914,12.881404876708984,14.651867866516113,3.8074514865875244,6.022156715393066,-4.610157012939453,0.45888808369636536,-2.6473913192749023,-0.8286692500114441,-1.6056333780288696,104.05782318115234,34.893798828125,20.869831085205078,13.619402885437012,10.353591918945312,10.554142951965332,9.311681747436523,10.148655891418457,9.451828002929688,8.848442077636719,8.845746040344238,9.115350723266602,9.084297180175781
brazil_bossa_nova_vinicius_de_moraes_garota_de_ipanema.wav,2681.5380851086484,1025.0780299962387,6202.382744570843,1800.2627234288198,0.09462612438928453,0.07870649610472763,0.018188355,0.023846524,-145.37472534179688,68.302490234375,35.827171325683594,27.332855224609375,7.223067760467529,17.472597122192383,0.2515919804573059,9.225430488586426,-0.3471395969390869,6.941018581390381,0.4503175914287567,2.402970552444458,-4.002342700958252,80.78431701660156,29.415355682373047,39.60393142700195,17.358524322509766,12.983414649963379,11.365338325500488,10.480579376220703,8.950014114379883,9.340386390686035,9.652697563171387,8.656721115112305,6.976436614990234,7.280652046203613
brazil_chorinho_abel_ferreira_chorando_baixinho.wav,1762.2612993769824,535.3733630390929,3703.40772146202,1502.836982534403,0.06966699807040663,0.023494673390515277,0.01194836,0.07757393,-116.69438171386719,109.9549331665039,-9.56104564666748,23.912946701049805,4.255502223968506,10.18077564239502,-1.8090945482254028,7.185118198394775,-6.982165336608887,-1.5494920015335083,-6.780810356140137,-1.8122652769088745,-3.421501398086548,58.926239013671875,28.02900505065918,18.210887908935547,10.764748573303223,10.19222640991211,8.177103996276855,8.187478065490723,8.321026802062988,8.654285430908203,8.406057357788086,9.766817092895508,10.31396484375,9.705781936645508
brazil_chorinho_jacob_do_bandolim_noites_cariocas.wav,2400.0980300582883,664.638690162992,5473.177743823065,1461.130504107361,0.11464997281056839,0.0449110929441007,0.030925272,0.13028945,-112.14013671875,88.30946350097656,4.776355743408203,9.506498336791992,-9.75016975402832,15.393251419067383,-13.906746864318848,2.1822726726531982,-16.914310455322266,-7.289774417877197,-6.980165481567383,-1.2830166816711426,-10.414091110229492,75.55035400390625,24.587392807006836,12.376314163208008,10.025815963745117,8.74347972869873,11.850518226623535,8.764947891235352,8.082246780395508,9.983628273010254,7.730445384979248,10.320959091186523,9.68246841430664,9.526338577270508
brazil_chorinho_pixinguinha_carinhoso.wav,936.1796420371315,412.54989526730697,1598.295677768558,808.12935291716,0.061072851422021096,0.028744153513394505,0.0133776665,0.10844709,-217.9312744140625,184.74867248535156,-30.651927947998047,12.144521713256836,3.8664958477020264,-6.990342617034912,0.2623935639858246,-2.891756057739258,-2.5118651390075684,-3.1927828788757324,-6.023278713226318,-13.230890274047852,-11.96354866027832,67.43414306640625,38.61192321777344,24.337997436523438,14.378097534179688,10.393982887268066,9.363970756530762,8.058204650878906,10.035181045532227,9.31815242767334,9.077031135559082,10.046052932739258,10.156731605529785,9.35206413269043
brazil_chorinho_waldir_azevedo_brasileirinho.wav,2071.392909215741,394.4320826741549,4143.880750297138,720.4438054889148,0.10880171729367108,0.03785375619083245,0.011790629,0.06052704,-134.62521362304688,97.16374969482422,-18.732194900512695,33.4516487121582,6.267498970031738,5.067890167236328,-0.881190836429596,-1.277487874031067,-9.342991828918457,-12.70156192779541,-1.626610279083252,11.409249305725098,-9.530614852905273,72.68184661865234,21.16680145263672,11.896510124206543,9.83386516571045,7.12741231918335,7.596232891082764,6.603288173675537,7.959213733673096,9.814478874206543,8.388883590698242,10.64030933380127,11.674957275390625,9.351126670837402
brazil_funk_carioca_anitta_show_das_poderosas.wav,2441.5455683198147,1359.2779767163568,5490.3112913346795,2687.9429818131466,0.09437010392846934,0.11371046156774416,0.0904081,0.24594818,-101.31604766845703,79.89130401611328,15.75931167602539,7.1232523918151855,8.526662826538086,2.357863187789917,8.236788749694824,2.1762638092041016,2.200333833694458,4.901287078857422,-2.3688008785247803,4.933328628540039,0.9975239038467407,144.15162658691406,39.75042724609375,24.320024490356445,17.54142951965332,13.316055297851562,14.636153221130371,10.734244346618652,12.439433097839355,9.669837951660156,9.526938438415527,9.405345916748047,6.8848876953125,8.407301902770996
