filename,style,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,centroid_mean,centroid_std,rolloff_mean,rolloff_std,bandwidth_mean,bandwidth_std,harmonic_chroma1_mean,harmonic_chroma2_mean,harmonic_chroma3_mean,harmonic_chroma4_mean,harmonic_chroma5_mean,harmonic_chroma6_mean,harmonic_chroma7_mean,harmonic_chroma8_mean,harmonic_chroma9_mean,harmonic_chroma10_mean,harmonic_chroma11_mean,harmonic_chroma12_mean,harmonic_chroma1_std,harmonic_chroma2_std,harmonic_chroma3_std,harmonic_chroma4_std,harmonic_chroma5_std,harmonic_chroma6_std,harmonic_chroma7_std,harmonic_chroma8_std,harmonic_chroma9_std,harmonic_chroma10_std,harmonic_chroma11_std,harmonic_chroma12_std,harmonic_tonnetz1_mean,harmonic_tonnetz2_mean,harmonic_tonnetz3_mean,harmonic_tonnetz4_mean,harmonic_tonnetz5_mean,harmonic_tonnetz6_mean,harmonic_tonnetz1_std,harmonic_tonnetz2_std,harmonic_tonnetz3_std,harmonic_tonnetz4_std,harmonic_tonnetz5_std,harmonic_tonnetz6_std,percussive_zcr_mean,percussive_zcr_std,percussive_flatness_mean,percussive_flatness_std,percussive_rms_mean,percussive_rms_std
westAfrica_afrobeat_tony_allen_secret_agent.wav,afrobeat,-99.28435,91.513756,6.326954,43.093716,6.576697,14.006434,4.218691,5.73279,-2.8802109,6.1897044,-1.6369952,6.666914,-4.308027,65.28201,29.252405,19.138367,12.992665,11.31638,10.382795,9.50936,8.99092,7.6450257,8.320715,7.428871,7.174134,6.3665314,2077.729288885635,714.1209623240937,4616.308534231157,1370.9628379161727,2406.4541105961875,380.8821518017085,0.6463274,0.34965914,0.27362552,0.28851333,0.31414616,0.35499328,0.31337667,0.53842413,0.22950155,0.1728416,0.22971117,0.36010784,0.34305653,0.21379194,0.25891364,0.30056977,0.25308752,0.35573456,0.21513002,0.34573206,0.20232536,0.2030774,0.24588159,0.24363047,-0.020538508660904658,0.1928480249653752,0.017342196654749495,0.07047911526273909,-0.007575842830156867,0.023102398557342658,0.08952751644205209,0.11908483601228599,0.18274966512185425,0.11512548978730926,0.06084007250482847,0.05149041049492783,0.1321338718220339,0.08838776034208369,0.03664406,0.06323038,0.072206825,0.047983155
westAfrica_afrobeat_santrofi_alewa.wav,afrobeat,-94.690094,103.10232,-3.4028943,18.994236,-0.5011716,3.9745913,-14.046634,-1.0331831,-6.942531,-2.5580883,-7.5443845,-8.36329,-6.1705904,61.20291,29.701315,23.49833,14.578515,13.431534,12.43751,11.230073,10.113351,9.993411,9.495715,8.901248,8.609861,7.7846885,2092.077128050178,675.5159257316751,4531.278129738834,1633.18290671299,2350.595015421771,489.31209793505155,0.39842394,0.20861489,0.33757797,0.20538165,0.3388581,0.31505984,0.29627702,0.32654905,0.2084847,0.41130832,0.197926,0.41442883,0.33881885,0.1921241,0.35458767,0.17090833,0.30289558,0.29062667,0.25513446,0.31422073,0.16608338,0.36167133,0.15880084,0.3502941,0.1807593870418996,0.05485725843630612,-0.03151928248829561,0.10341786145190278,-0.004637635089951775,-0.0038515861993629417,0.13308114786530065,0.1670642079915165,0.21936383087726255,0.14422876603399196,0.07374352652125828,0.07760103190908389,0.1375237848633039,0.08911051147469881,0.047200672,0.059688993,0.06080261,0.0401453
westAfrica_afrobeat_chief_commander_ebenezer_obey_miliki_sound.wav,afrobeat,-122.15325,116.822716,-38.688797,44.448807,-17.42492,10.094077,-14.73646,16.8098,-2.1381605,3.712343,-5.8691173,0.98753434,-3.7512648,60.675766,25.317268,19.045063,18.87301,11.009235,9.93599,9.287582,9.496022,10.844232,8.269239,9.632217,8.26985,8.751249,1883.65664784912,520.6325491575749,3694.8554264632794,925.5653942887428,1827.3755346452683,281.19911430017794,0.340665,0.26132238,0.3360602,0.28196722,0.31279907,0.46854082,0.27182811,0.23928468,0.20614731,0.3255683,0.38037893,0.2870448,0.33539283,0.25383484,0.31573507,0.31087425,0.266403,0.38136527,0.25423443,0.29515198,0.19926745,0.29391944,0.36739638,0.25993976,-0.06352826792291359,0.09804305783821081,-0.03757738783875169,-0.11104434177462028,-0.005529177861202436,-0.01328176198289242,0.10514609908924526,0.0909858908057866,0.14692162254516483,0.17937304941385435,0.066728761363959,0.05910976299998453,0.1534557887232993,0.06370547711817286,0.012859698,0.035189994,0.0408612,0.021068562
westAfrica_afrobeat_rob_make_it_fast.wav,afrobeat,-112.39174,66.49753,2.5621943,11.107184,0.80820364,19.740583,5.023706,8.329723,-5.6453323,3.9681406,-5.13572,7.774064,3.2925134,83.15933,35.698143,25.109962,16.99546,16.080692,11.627548,14.213626,10.821965,9.560976,8.660183,8.521217,8.737366,7.766439,2975.1583442843494,1075.417892731628,6179.530588490575,1818.8867600785832,2729.3926368619004,446.00667392891893,0.29577917,0.33710948,0.70001405,0.2731939,0.29171288,0.27445465,0.2040965,0.2526077,0.25457135,0.4538428,0.2465301,0.218887,0.3017494,0.24296398,0.35663304,0.18442035,0.2863495,0.27241176,0.19390044,0.28088123,0.27187115,0.37445682,0.22287732,0.21708182,0.03804684578840637,-0.04433240836038056,-0.09992023641488519,0.03791681257802404,-0.022862519077180978,-0.01234795660991715,0.09388610973326317,0.08367219988764743,0.1540386477292529,0.14792495347763376,0.05384804364035146,0.04106072133383378,0.2265777481606977,0.12784826081696873,0.088224895,0.08388646,0.055617623,0.048951324
westAfrica_afrobeat_seun_kuti_imf.wav,afrobeat,-24.544514,55.97351,-13.083923,30.808285,1.0166686,11.579413,-2.3516693,2.9399989,-3.560012,2.2843282,-1.6376721,0.36113518,-0.5786676,85.41242,24.303156,20.70498,17.522556,16.005312,12.588408,12.139542,10.587208,10.48432,9.642486,9.24243,8.692121,8.164343,2919.4679356484894,776.4599168669491,5810.971282036519,1400.7178644261387,2550.7054034791445,483.6382187071932,0.31312832,0.300944,0.36827728,0.21473204,0.24269709,0.3111847,0.35268486,0.4574286,0.43789014,0.53680515,0.4464223,0.36025435,0.30176538,0.2712412,0.31575814,0.21704246,0.23921847,0.2853624,0.27893186,0.3305646,0.31722495,0.33427513,0.3306837,0.29548088,0.017611865033143742,0.029324695412429,-0.021601837123922694,-0.026799272067888253,0.01333558960274965,-0.005722219047499795,0.06561842996177342,0.06628899569802538,0.09339068245162903,0.09111045781203138,0.038943324562279315,0.031851562044884214,0.19635072279774543,0.0941114430354267,0.07557885,0.14158197,0.11552624,0.0522481
westAfrica_afrobeat_orlando_julius_jagua_nana.wav,afrobeat,-9.437032,45.546543,-14.164172,35.382927,-10.280984,6.7337346,-3.8915687,7.3042703,-8.841564,2.2051766,-7.365253,-1.1944181,-3.6880655,41.555252,19.021423,15.908685,13.000001,11.116196,8.591964,8.766611,8.230437,7.2575846,6.13585,7.0584083,7.0546646,6.423659,3326.464050104084,472.12948266225607,6258.477750609473,746.4746665549914,2570.355517826338,229.3429979659886,0.3782552,0.254257,0.43281487,0.2870668,0.2505043,0.4716638,0.33378208,0.48527867,0.40693048,0.43641,0.3933169,0.28436708,0.3179896,0.20497425,0.35056213,0.25221306,0.24355221,0.34867465,0.2228754,0.3268249,0.29068694,0.293399,0.2996906,0.2250447,-0.03221678957849936,0.10163789064298846,0.019306712866041794,-0.051835977634325195,0.0021679737813224296,-0.017039063580338163,0.08656553106782179,0.07312825853016318,0.12888763662967345,0.16720552268786065,0.0478916603885672,0.04688503467482096,0.267019611515411,0.07030089302264807,0.09525938,0.05997989,0.08370984,0.034772467
westAfrica_afrobeat_orlando_julius_buje_buje.wav,afrobeat,-45.445866,80.00363,9.18826,31.239073,5.476129,25.18962,-0.581392,-0.108021796,-4.0307493,1.7216212,1.1023134,5.7077284,-0.6321735,51.805847,22.931787,18.555733,11.923338,11.632902,10.506397,11.793703,8.819726,7.6385627,8.058699,7.2993,7.1247153,7.5270844,2425.1155134091596,716.0017489790082,5446.534254624557,1319.3843251963617,2640.1209723804895,353.3670076050183,0.32615617,0.2369259,0.31999177,0.3573522,0.5136545,0.46235675,0.4660897,0.5411242,0.34610525,0.26002002,0.200763,0.31818563,0.3231472,0.20479566,0.29406354,0.25174364,0.35729948,0.3423049,0.2754911,0.355854,0.2644055,0.2756516,0.21263236,0.29713663,0.09082318857019142,0.018735888061375154,0.03269539185897873,0.10291908902092498,0.018194436303187213,-0.02259281864327468,0.10230779118934903,0.1087941882903263,0.15350900805005613,0.1298422715598854,0.0667186299761879,0.04489355766468861,0.16308043909261086,0.10024187993098625,0.057334572,0.055189285,0.09767108,0.055708975
westAfrica_afrobeat_fela_kuti_gentleman.wav,afrobeat,-172.79126,58.278946,-31.30026,27.734621,8.246778,9.342661,-1.9701014,5.1896534,-8.823728,-3.443352,-4.394806,3.6811938,-1.7274992,120.862564,33.79172,49.600513,22.620176,18.096947,12.009314,10.672075,9.49613,10.554611,9.406942,11.278704,13.554537,11.860823,2793.979671021129,841.1137510539036,5202.800843376335,2007.0132881044876,2264.4388164860306,727.9461088476479,0.44708714,0.22479412,0.29966664,0.38948223,0.329676,0.5075898,0.27288666,0.22955808,0.23274401,0.2789657,0.25997198,0.2557116,0.36054534,0.1966802,0.30286363,0.34258983,0.26625112,0.3952494,0.23808436,0.26054612,0.2522308,0.28868937,0.26176888,0.2625509,-0.06980665610670539,0.16693528371067753,-0.04229756453606929,0.059101011094459005,-0.04231034686812513,0.012929469695394671,0.1731975541415874,0.16418771869276508,0.22388272388872152,0.18246820103994207,0.07651833796869645,0.07380225134600266,0.22337625794491525,0.08580997062559985,0.055353384,0.063770264,0.043133594,0.04727051
westAfrica_afrobeat_king_sunny_adé_ja_funmi.wav,afrobeat,-119.523445,91.18122,9.670375,30.648382,8.717539,8.556599,0.5719939,-0.21499176,-0.59590006,5.0383677,-5.9000125,1.7299113,-5.0780916,63.42371,23.520319,19.513716,15.463084,11.626152,9.826435,9.265077,8.578638,9.9917,9.717195,8.832432,7.5792356,8.73592,2234.010238854365,640.0164756450038,5054.819441937725,1495.183426238075,2588.25015606624,399.0047546673444,0.20173353,0.33027703,0.41848907,0.53067017,0.27109995,0.31632715,0.4132409,0.25688165,0.3637021,0.34306797,0.51169646,0.27866533,0.21522292,0.29957497,0.3073675,0.36221,0.20801844,0.27248847,0.34184438,0.21075371,0.34114435,0.25524026,0.3513854,0.23166005,-0.12267283999149121,0.0010562605062706862,-0.006203836843503478,-0.11236282364795751,0.015173277370674096,0.024354437512370257,0.09492788923125506,0.06931723130174484,0.12219100395104068,0.09241500304675289,0.03863258290817605,0.042112954015483726,0.12705691452504644,0.0782718699109056,0.04173367,0.061158076,0.053747084,0.035081584
westAfrica_afrobeat_dele_sosimi_you_no_fit_touch_am.wav,afrobeat,-112.72163,85.796036,26.287813,36.920284,6.248058,20.051397,0.7409641,-4.135463,0.64575666,0.9903746,1.9322482,3.3928072,-6.1996055,87.10103,33.834442,20.500038,15.222956,13.77061,12.988381,10.255304,10.666088,9.7041855,8.31798,10.043132,8.165932,8.910692,2198.1479628664274,941.3678228062612,4951.715545618869,2000.0639230084548,2579.7972366783374,499.0254964001926,0.26172075,0.26789832,0.3529761,0.31331235,0.4039701,0.60105497,0.32889792,0.28232253,0.33605093,0.4776334,0.27757752,0.24999937,0.279343,0.25155205,0.3379722,0.25852817,0.2911271,0.37534833,0.22558123,0.29570135,0.2923796,0.36046752,0.2531864,0.27783778,0.06091582922929229,0.02828577509459747,-0.13034490979037064,-0.0018488274520585947,-0.018327961550248954,-0.016035950563808854,0.06543145576059192,0.05713759505054064,0.09750642478559995,0.09953715778493644,0.03529929373824255,0.03950058733485257,0.1256430302414674,0.10055572154807346,0.043556713,0.061576046,0.10041646,0.07338118
